,Sample ID,Expedition,StationName,StationID,Date [DD-MM-YYYY],Type,Region,Fraction,Longitude [degrees_east],Latitude [degrees_north],"Bot, Depth [m]",EUK_sampaleID,Depth,Temperature,Salinity,Potential Density Anomaly ~$s~#~_0 [kg/m~^3],Potential Temperature ~$q~# [degC],Water mass,Oxygen,Oxygen.saturation%,POC,PON,C/N,ChlA,dNO3,dSiO3,dPO4,dNO3_integ,dSiO3_integ,dPO4_integ,NO3,NO2,SiO3,PO4,NH4,DOC,FCM_BAC,FCM_HNA,FCM_LNA,"Conc_cells/mL
",HNA/BAC,Fucose,Rhamnose,Galactosamin,Arabinose,Glucosamin,Galactose,Glucose,Mannose + Xylose,Gluconic adic,Muramic acid,Galacturonic acid,Glucuronic acid,leucine,Chla quota,(Fuc + Rha):(Ara + Xyl)
X1,380,PS85,1E,PS85/0485,28-06-2014,DCM,WSC,0.22,1.00517,78.8355,2434,X32,15,-1.49,34.58,27.833,-1.49,UNDEF,7.13,84.927,,,,,,,,5.09,2.97,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,
X10,390,PS85,8.5W,PS85/0429,16-06-2014,BDCM,EGC,0.22,-8.56367,78.82733,304,X6,30,-1.6,31.97,25.723,-1.6,PSW,8.65,101.52,77.9,14.27,5.46,0.083,8.79,5.22,0.34,3.27,0.23,0.03,2.42,0.03,4.95,0.42,0.06,,5887,3513,2557,96287.94383,0.596738577,23.41551068,0,0,7.678606274,21.69238361,24.19807505,83.22164473,80.6074179,0,0,7.759141552,0,1.159446551,,0.2652233
X11,391,PS85,8.5W,PS85/0429,16-06-2014,BDCM,EGC,3,-8.56367,78.82733,304,X6,30,-1.6,31.97,25.723,-1.6,PSW,8.65,101.52,77.9,14.27,5.46,0.083,8.79,5.22,0.34,3.27,0.23,0.03,2.42,0.03,4.95,0.42,0.06,,5887,3513,2557,96287.94383,0.596738577,23.41551068,0,0,7.678606274,21.69238361,24.19807505,83.22164473,80.6074179,0,0,7.759141552,0,1.159446551,,0.2652233
X12,392,PS85,HG9,PS85/0465,24-06-2014,SRF,WSC,0.22,2.754,79.1455,5534.7,,5,-1.0589,34.0784,27.41368,-1.06012,PSW,7.6119,92.026,277.08,50.01,5.54,0.717,10.725,3.35,0.705,7.7,3.15,0.7,0.96,0.02,2.21,0.21,3.48,,32394,24721,7261,861148.7719,0.763135148,24.23573734,32.81982686,0,29.72926693,35.7687609,73.32987623,67.1064881,135.9850872,0,0,14.02108301,19.28080959,39.30139256,25.40817044,0.344300676
X13,393,PS85,HG9,PS85/0465,24-06-2014,BDCM,WSC,0.22,2.754,79.1455,5534.7,,50,1.1837,34.6697,27.771285,1.17771,UNDEF,7.2497,93.323,57.19,10.56,5.41,0.217,1.685,0,0.255,7.7,3.15,0.7,10,0.16,6.81,0.66,4.03,,19215,11996,6816,535459.447,0.624303929,13.75891845,9.471019149,0,12.30652884,18.10772105,24.32885416,151.9350778,76.06723256,0,0,11.81043,0,5.256999157,,0.262860121
X14,394,PS85,HG9,PS85/0465,24-06-2014,DCM,WSC,0.22,2.754,79.1455,5534.7,,20,1.4346,33.0997,26.493082,1.4291,PSWw,7.539,96.232,230.8,43.45,5.31,1.084,7.615,1.33,0.535,7.7,3.15,0.7,4.07,0.09,4.23,0.38,3.9,,20523,14124,6384,522809.991,0.688203479,21.64509039,24.59943619,0.854559511,38.3498187,25.4787763,48.90675683,86.69411565,121.7400581,0,0,15.45076109,14.70267228,15.01947844,,0.288866026
X15,400,PS85,HG1,PS85/0470,24-06-2014,DCM,WSC,0.22,6.077,79.1345,1243,X23,23,2.3116,34.369,27.444742,2.30874,PSWw,8.2862,110.477,,,,1.145,8.67,1.84,0.39,6.9,1.33,0.2,2.74,0.07,3.83,0.32,1.04,,,,,,,21.94075712,40.45921587,2.028126157,49.84724681,23.18587654,91.47692405,127.992838,168.4448519,0,0,0,0,31.58705701,,0.28585539
X16,402,PS85,HG1,PS85/0470,24-06-2014,BDCM,WSC,0.22,6.077,79.1345,1243,X24,30,3.0405,34.7358,27.676976,3.03815,PSWw,8.011,106.411,,,,0.334,3.31,0.79,-0.2,6.9,1.33,0.2,8.1,0.14,4.88,0.91,0.82,,32658,21474,10561,834583.3312,0.657541797,16.27944267,27.27482946,2.657896291,33.18844967,18.96593615,54.70086328,331.2229997,271.5363863,0,0,0,0,11.9,,0.14292984
X17,406,PS85,HG4,PS85/0460,22-06-2014,SRF,WSC,0.22,4.185,79.185,2402,X19,5,1.73,34.5,27.592,1.73,PSWw,7.45,96.89,,,,0.778,11.99,4.555,0.975,5.31,0.93,0.1,0.54,0,3.05,0.41,3.41,,21641,16684,4372,502153.9569,0.770944041,29.34260163,30.48698443,0,42.59438164,39.09023116,145.950361,189.0809536,187.951301,0,0,18.5456071,7.312466083,62.38198368,,0.259512932
X18,407,PS85,HG4,PS85/0460,22-06-2014,DCM,WSC,0.22,4.185,79.185,2402,X20,50,2.66,34.82,27.778,2.66,AW,8.13,108.445,,,,1.096,2.98,1.905,0.705,5.31,0.93,0.1,9.55,0.11,5.7,0.68,1.22,,22160,15441,5833,482739.9998,0.696796029,19.64720383,22.79483335,0,54.54990992,20.91442434,53.78700645,89.37518072,188.7892771,0,0,17.49522544,0,20.43596987,,0.174415135
