,Expedition,StationName,StationID,Type,Region,Longitude [degrees_east],Latitude [degrees_north],"Bot, Depth [m]",Depth,Temperature,Salinity,Potential Density Anomaly ~$s~#~_0 [kg/m~^3],Potential Temperature ~$q~# [degC],Water mass,dNO3,dSiO3,dPO4,Oxygen,Oxygen.saturation%,POC,PON,C/N,ChlA,NO3,NO2,SiO3,PO4,NH4,PhytoCellBiomass[ug/L]
X1,PS85,10W,PS85/0426-1(10W),SRF,EGC,-9.929,78.806,,5,-1.1,33.09,26.611,-1.1,PSW,9.64,4.03,0.25,8.11,96.53,74.51,11.91,6.25,0.332,1.69,0.01,5.77,0.5,0.03,
X2,PS85,10W,PS85/0426-1(10W),DCM,EGC,-9.929,78.806,,25,-1.63,31.96,25.709,-1.63,PSW,8.89,3.74,0.22,8.85,103.495,59.26,12.3,4.82,0.13,2.44,0,6.06,0.53,0,0.35
X3,PS85,10W,PS85/0426-1(10W),BDCM,EGC,-9.929,78.806,,40,-1.7,32.07,25.803,-1.7,PSW,8.6,3.56,0.21,8.76,102.358,94.82,12.38,7.66,0.017,2.73,0,6.24,0.54,0.03,
X4,PS85,8.5W,PS85/0429-1(8.5W),SRF,EGC,-8.56367,78.82733,304,5,-1.2,32.44,26.093,-1.2,PSW,10.14,4.39,0.22,7.7,91.14,226.69,11.11,20.41,0.435,1.07,0.05,5.78,0.54,0.2,
X5,PS85,8.5W,PS85/0429-1(8.5W),DCM,EGC,-8.56367,78.82733,304,15,-1.54,31.67,25.476,-1.54,PSW,,,,8.42,98.528,203.42,39.06,5.21,0.564,,,,,,1.19
X6,PS85,8.5W,PS85/0429-1(8.5W),BDCM,EGC,-8.56367,78.82733,304,30,-1.6,31.97,25.723,-1.6,PSW,8.79,5.22,0.34,8.65,101.52,77.9,14.27,5.46,0.083,2.42,0.03,4.95,0.42,0.06,
X7,PS85,7W,PS85/0432(7W),SRF,EGC,-7.006,78.658,,5,-1.25,32.56,26.185,-1.25,PSW,8.94,0.81,0.24,7.59,90.15,46.83,6.32,7.41,0.182,1.71,0.04,7.16,0.51,0,
X8,PS85,7W,PS85/0432(7W),DCM,EGC,-7.006,78.658,,15,-1.45,31.87,25.636,-1.45,PSW,7.83,0.72,0.23,8.2,96.23,55.08,8.71,6.32,0.117,2.82,0.03,7.25,0.52,0.02,
X9,PS85,7W,PS85/0432(7W),BDCM,EGC,-7.006,78.658,,30,-1.73,32.65,26.275,-1.74,PSW,6.32,0.38,0.21,8.55,100.427,54.85,9.92,5.53,0.019,4.33,0.03,7.59,0.54,0.16,
X10,PS85,EG1,PS85/0437-1(EG1),SRF,EGC,-5.4975,78.83283,536,5,-1.27,32.27,25.953,-1.27,PSW,7.23,0,0.14,8.44,100.158,85.5,13.76,6.21,0.454,0.88,0.04,5.79,0.49,0,
