path	node	rank
Eukaryota 	Eukaryota 	domain
Eukaryota;AB3F14RM1B12 	AB3F14RM1B12 	2
Eukaryota;Amoebozoa 	Amoebozoa 	2
Eukaryota;Amoebozoa;Archamoebae 	Archamoebae 	3
Eukaryota;Amoebozoa;Archamoebae;Entamoebida 	Entamoebida 	4
Eukaryota;Amoebozoa;Archamoebae;Entamoebida;Entamoeba	Entamoeba	5
Eukaryota;Amoebozoa;Archamoebae;Incertae Sedis 	Incertae Sedis 	4
Eukaryota;Amoebozoa;Archamoebae;Incertae Sedis;Rhizomastix	Rhizomastix	5
Eukaryota;Amoebozoa;Cavosteliida 	Cavosteliida 	3
Eukaryota;Amoebozoa;Cavosteliida;Cavostelium 	Cavostelium 	4
Eukaryota;Amoebozoa;Cavosteliida;Schizoplasmodiopsis 	Schizoplasmodiopsis 	4
Eukaryota;Amoebozoa;Cavosteliida;Tychosporium 	Tychosporium 	4
Eukaryota;Amoebozoa;Dictyostelia 	Dictyostelia 	3
Eukaryota;Amoebozoa;Dictyostelia;Acytostelium 	Acytostelium 	4
Eukaryota;Amoebozoa;Dictyostelia;Dictyostelium 	Dictyostelium 	4
Eukaryota;Amoebozoa;Dictyostelia;Polysphondylium 	Polysphondylium 	4
Eukaryota;Amoebozoa;Discosea 	Discosea 	3
Eukaryota;Amoebozoa;Discosea;Flabellinia 	Flabellinia 	4
Eukaryota;Amoebozoa;Discosea;Flabellinia;Dactylopodida	Dactylopodida	5
Eukaryota;Amoebozoa;Discosea;Flabellinia;Dactylopodida;Korotnevella 	Korotnevella 	6
Eukaryota;Amoebozoa;Discosea;Flabellinia;Dactylopodida;Paramoeba 	Paramoeba 	6
Eukaryota;Amoebozoa;Discosea;Flabellinia;Dactylopodida;Pseudoparamoeba 	Pseudoparamoeba 	6
Eukaryota;Amoebozoa;Discosea;Flabellinia;Pellitida	Pellitida	5
Eukaryota;Amoebozoa;Discosea;Flabellinia;Stygamoebida	Stygamoebida	5
Eukaryota;Amoebozoa;Discosea;Flabellinia;Stygamoebida;Stygamoeba 	Stygamoeba 	6
Eukaryota;Amoebozoa;Discosea;Flabellinia;Stygamoebida;Vermistella 	Vermistella 	6
Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida	Vannellida	5
Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;BIO10-D10 	BIO10-D10 	6
Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;Platyamoeba 	Platyamoeba 	6
Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;Protosteliopsis 	Protosteliopsis 	6
Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;uncultured 	uncultured 	6
Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;Vannella 	Vannella 	6
Eukaryota;Amoebozoa;Discosea;Longamoebia 	Longamoebia 	4
Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida	Centramoebida	5
Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Acanthamoeba 	Acanthamoeba 	6
Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Balamuthia 	Balamuthia 	6
Eukaryota;Amoebozoa;Fractovitelliida 	Fractovitelliida 	3
Eukaryota;Amoebozoa;Fractovitelliida;Soliformovum 	Soliformovum 	4
Eukaryota;Amoebozoa;Gracilipodida 	Gracilipodida 	3
Eukaryota;Amoebozoa;Gracilipodida;Filamoeba 	Filamoeba 	4
Eukaryota;Amoebozoa;Gracilipodida;Flamella 	Flamella 	4
Eukaryota;Amoebozoa;Gracilipodida;Heliamoeba 	Heliamoeba 	4
Eukaryota;Amoebozoa;Gracilipodida;LEMD267 	LEMD267 	4
Eukaryota;Amoebozoa;Gracilipodida;Telaepolella 	Telaepolella 	4
Eukaryota;Amoebozoa;Incertae Sedis 	Incertae Sedis 	3
Eukaryota;Amoebozoa;Incertae Sedis;Arboramoeba 	Arboramoeba 	4
Eukaryota;Amoebozoa;Incertae Sedis;Dictyamoeba 	Dictyamoeba 	4
Eukaryota;Amoebozoa;Incertae Sedis;Ischnamoeba 	Ischnamoeba 	4
Eukaryota;Amoebozoa;LEMD255 	LEMD255 	3
Eukaryota;Amoebozoa;LKM74 	LKM74 	3
Eukaryota;Amoebozoa;Myxogastria 	Myxogastria 	3
Eukaryota;Amoebozoa;Myxogastria;Amaurochaete 	Amaurochaete 	4
Eukaryota;Amoebozoa;Myxogastria;Badhamia 	Badhamia 	4
Eukaryota;Amoebozoa;Myxogastria;Brefeldia 	Brefeldia 	4
Eukaryota;Amoebozoa;Myxogastria;Comatricha 	Comatricha 	4
Eukaryota;Amoebozoa;Myxogastria;Diderma 	Diderma 	4
Eukaryota;Amoebozoa;Myxogastria;Didymium 	Didymium 	4
Eukaryota;Amoebozoa;Myxogastria;Fuligo 	Fuligo 	4
Eukaryota;Amoebozoa;Myxogastria;Lamproderma 	Lamproderma 	4
Eukaryota;Amoebozoa;Myxogastria;Lepidoderma 	Lepidoderma 	4
Eukaryota;Amoebozoa;Myxogastria;Macbrideola 	Macbrideola 	4
Eukaryota;Amoebozoa;Myxogastria;Meriderma 	Meriderma 	4
Eukaryota;Amoebozoa;Myxogastria;Mucilago 	Mucilago 	4
Eukaryota;Amoebozoa;Myxogastria;Physarella 	Physarella 	4
Eukaryota;Amoebozoa;Myxogastria;Physarum 	Physarum 	4
Eukaryota;Amoebozoa;Myxogastria;Protophysarum 	Protophysarum 	4
Eukaryota;Amoebozoa;Myxogastria;Stemonitis 	Stemonitis 	4
Eukaryota;Amoebozoa;Myxogastria;Symphytocarpus 	Symphytocarpus 	4
Eukaryota;Amoebozoa;Protosporangiida 	Protosporangiida 	3
Eukaryota;Amoebozoa;Protosporangiida;Protosporangiidae 	Protosporangiidae 	4
Eukaryota;Amoebozoa;Protosporangiida;Protosporangiidae;Protosporangium	Protosporangium	5
Eukaryota;Amoebozoa;Protosteliida 	Protosteliida 	3
Eukaryota;Amoebozoa;Protosteliida;Planoprotostelium 	Planoprotostelium 	4
Eukaryota;Amoebozoa;Protosteliida;Protostelium 	Protostelium 	4
Eukaryota;Amoebozoa;Schizoplasmodiida 	Schizoplasmodiida 	3
Eukaryota;Amoebozoa;Schizoplasmodiida;Ceratiomyxella 	Ceratiomyxella 	4
Eukaryota;Amoebozoa;Schizoplasmodiida;Nematostelium 	Nematostelium 	4
Eukaryota;Amoebozoa;Schizoplasmodiida;Phalansterium 	Phalansterium 	4
Eukaryota;Amoebozoa;Schizoplasmodiida;Schizoplasmodium 	Schizoplasmodium 	4
Eukaryota;Amoebozoa;Tubulinea 	Tubulinea 	3
Eukaryota;Amoebozoa;Tubulinea;Arcellinida 	Arcellinida 	4
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Arcellina	Arcellina	5
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Arcellina;Arcella 	Arcella 	6
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Difflugina	Difflugina	5
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Difflugina;Physochila 	Physochila 	6
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Echinamoebida	Echinamoebida	5
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Echinamoebida;Echinamoeba 	Echinamoeba 	6
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Echinamoebida;Vermamoeba 	Vermamoeba 	6
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Phryganellina	Phryganellina	5
Eukaryota;Amoebozoa;Tubulinea;Arcellinida;Phryganellina;Cryptodifflugia 	Cryptodifflugia 	6
Eukaryota;Amoebozoa;Tubulinea;Euamoebida 	Euamoebida 	4
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Amoeba	Amoeba	5
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;BOLA868	BOLA868	5
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Chaos	Chaos	5
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Copromyxa	Copromyxa	5
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Glaeseria	Glaeseria	5
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Hartmannella	Hartmannella	5
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Ptolemeba	Ptolemeba	5
Eukaryota;Amoebozoa;Tubulinea;Euamoebida;Saccamoeba	Saccamoeba	5
Eukaryota;Amoebozoa;Tubulinea;Incertae Sedis 	Incertae Sedis 	4
Eukaryota;Amoebozoa;Tubulinea;Incertae Sedis;Pyxidicula	Pyxidicula	5
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida 	Leptomyxida 	4
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;Flabellula	Flabellula	5
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;Leptomyxa	Leptomyxa	5
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;NETC3-I	NETC3-I	5
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;Paraflabellula	Paraflabellula	5
Eukaryota;Amoebozoa;Tubulinea;Leptomyxida;Rhizamoeba	Rhizamoeba	5
Eukaryota;Archaeplastida 	Archaeplastida 	2
Eukaryota;Archaeplastida;Chloroplastida 	Chloroplastida 	3
Eukaryota;Archaeplastida;Chloroplastida;Charophyta 	Charophyta 	4
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Amb-18S-504	Amb-18S-504	5
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Chlorokybus	Chlorokybus	5
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae	Klebsormidiophyceae	5
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae;Klebsormidiales 	Klebsormidiales 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae;Klebsormidiales 	Klebsormidiales 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae;Klebsormidiales 	Klebsormidiales 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae;Klebsormidiales 	Klebsormidiales 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Mesostigma	Mesostigma	5
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta	Phragmoplastophyta	5
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae 	Coleochaetophyceae 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae 	Coleochaetophyceae 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae 	Coleochaetophyceae 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae 	Coleochaetophyceae 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta 	Streptophyta 	6
