"SUID","cooc_method","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"774","correl_spearman",,"mutualExclusion","otu1896->OTU-EUK789","1","-0.90050042","correl_spearman=mutualExclusion","correl_spearman=7.935930401714586E-8","correl_spearman=-0.90050042","otu1896->OTU-EUK789","","","","-0.90050042","8.28588632839633E-6","8.28588632839633E-6","4.2023777918702065E-5","-100.0","-100.0","-52.0","-100.0","false",,"otu1896->OTU-EUK789","4.2023777918702065E-5"
"777","dist_kullbackleibler",,"mutualExclusion","otu1704->OTU-EUK110","1","21.21100722","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=3.128872350099954E-8","dist_kullbackleibler=21.21100722","otu1704->OTU-EUK110","","","","21.21100722","3.0791279752584444E-6","3.0791279752584444E-6","1.6049921189334996E-5","-100.0","-100.0","-424.0","-100.0","false",,"otu1704->OTU-EUK110","1.6049921189334996E-5"
"780","dist_kullbackleibler",,"mutualExclusion","otu118->OTU-EUK267","1","23.39629625","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=9.210493023825705E-7","dist_kullbackleibler=23.39629625","otu118->OTU-EUK267","12.19735804424998","13.338236905","5.734509445796837","23.39629625","1.0562647321965546E-4","1.0562647321965546E-4","4.905835425426038E-4","20.795389991945317","21.180181609999998","244.0","3.249063156269217","false",,"otu118->OTU-EUK267","4.905835425426038E-4"
"783","dist_kullbackleibler",,"copresence","OTU-EUK462->otu110","1","0.95593227","dist_kullbackleibler=copresence","dist_kullbackleibler=6.766143201275554E-12","dist_kullbackleibler=0.95593227","OTU-EUK462->otu110","6.2203245246400005","6.0685405","2.638519915350431","0.95593227","2.612237093302383E-10","2.612237093302383E-10","1.9973975738864277E-9","0.9846979026135211","0.8515376","982.0","0.5993501289899557","false",,"OTU-EUK462->otu110","1.9973975738864277E-9"
"786","dist_kullbackleibler|correl_spearman",,"mutualExclusion","OTU-EUK307->otu39","2","21.5572516|-0.9245067","dist_kullbackleibler=mutualExclusion|correl_spearman=mutualExclusion","dist_kullbackleibler=2.186302470619239E-6|correl_spearman=4.132441304482981E-6","dist_kullbackleibler=21.5572516|correl_spearman=-0.9245067","OTU-EUK307->otu39","10.962220628169998","11.416336535","4.461161510974278","21.5572516","3.634318401779524E-10","3.634318401779524E-10","2.761346851415289E-9","19.253762961200668|-0.9414241020559222","19.90853744|-0.947563055","216.0|216.0","3.2591816826491105|0.045809751085861175","false",,"OTU-EUK307->otu39","2.761346851415289E-9"
"789","correl_spearman",,"mutualExclusion","OTU-EUK476->otu970","1","-0.90050042","correl_spearman=mutualExclusion","correl_spearman=6.687692499784958E-8","correl_spearman=-0.90050042","OTU-EUK476->otu970","","","","-0.90050042","6.913087771787119E-6","6.913087771787119E-6","3.520987924444117E-5","-100.0","-100.0","-94.0","-100.0","false",,"OTU-EUK476->otu970","3.520987924444117E-5"
"792","correl_spearman",,"mutualExclusion","OTU-EUK434->otu59","1","-0.93743687","correl_spearman=mutualExclusion","correl_spearman=1.5151413457203944E-10","correl_spearman=-0.93743687","OTU-EUK434->otu59","2.1981277999998938E-4","0.00646508","0.32665435163110756","-0.93743687","8.84121942323901E-9","8.84121942323901E-9","6.258625292540219E-8","-0.9650404052796063","-0.97128586","216.0","0.023495834591817553","false",,"OTU-EUK434->otu59","6.258625292540219E-8"
"795","dist_bray",,"mutualExclusion","otu680->OTU-EUK381","1","0.9995267","dist_bray=mutualExclusion","dist_bray=2.6693096100149916E-7","dist_bray=0.9995267","otu680->OTU-EUK381","","","","0.9995267","2.9553444003904694E-5","2.9553444003904694E-5","1.438187841809451E-4","-100.0","-100.0","-104.0","-100.0","false",,"otu680->OTU-EUK381","1.438187841809451E-4"
"798","dist_bray|correl_pearson|dist_kullbackleibler",,"copresence","otu3548->OTU-EUK192","3","0.23875236|0.93829344|0.74495171","dist_bray=copresence|correl_pearson=copresence|dist_kullbackleibler=copresence","dist_bray=0.009254547652757017|correl_pearson=0.0017571072147254396|dist_kullbackleibler=0.0","dist_bray=0.23875236|correl_pearson=0.93829344|dist_kullbackleibler=0.74495171","otu3548->OTU-EUK192","0.7965931950299988","0.89605432","0.17609847821866192","0.23875236","0.0","0.0","0.0","0.19303427451957306|0.9386237360142351|0.6824138805516013","0.20429839|0.955939955|0.532988735","124.0|124.0|124.0","0.06566845371422948|0.1007779150144845|0.5989561857294777","false",,"otu3548->OTU-EUK192","0.0"
"801","dist_kullbackleibler|correl_pearson|dist_bray",,"copresence","OTU-EUK656->otu1103","3","0.53992759|0.93014575|0.21115053","dist_kullbackleibler=copresence|correl_pearson=copresence|dist_bray=copresence","dist_kullbackleibler=0.0|correl_pearson=9.603490619458643E-6|dist_bray=0.006199678784325147","dist_kullbackleibler=0.53992759|correl_pearson=0.93014575|dist_bray=0.21115053","OTU-EUK656->otu1103","10.001693869309994","10.050445315000001","4.252970711665276","0.53992759","0.0","0.0","0.0","0.5136959124125863|0.9412644930944056|0.1711778109265732","0.382006585|0.94902601|0.16757434","144.0|144.0|144.0","0.4987829876995889|0.05015012531418159|0.05820617365633883","false",,"OTU-EUK656->otu1103","0.0"
