"SUID","abundance","degree","Label","matrix_number","name","negdegree","oriID","posdegree","samplecount","selected","shared name","unknowndegree"
"6000","0.001435507189457342","1","otu554","matrix_1","otu554","1","otu554","0","9","false","otu554","0"
"6001","3.2408837549928243E-4","1","OTU-EUK765","matrix_2","OTU-EUK765","1","OTU-EUK765","0","6","false","OTU-EUK765","0"
"6003","0.004873093561202504","2","otu192","matrix_1","otu192","0","otu192","2","10","false","otu192","0"
"6004","9.196420443547453E-5","1","OTU-EUK1031","matrix_2","OTU-EUK1031","0","OTU-EUK1031","1","5","false","OTU-EUK1031","0"
"6006","3.28337435331148E-4","10","otu312","matrix_1","otu312","9","otu312","1","5","false","otu312","0"
"6007","0.0011149006521310578","2","OTU-EUK446","matrix_2","OTU-EUK446","2","OTU-EUK446","0","7","false","OTU-EUK446","0"
"6009","9.451194229715212E-4","13","OTU-EUK656","matrix_2","OTU-EUK656","1","OTU-EUK656","12","5","false","OTU-EUK656","0"
"6010","0.0013383693033563824","13","otu549","matrix_1","otu549","3","otu549","10","7","false","otu549","0"
"6012","0.0021973660826959127","33","otu118","matrix_1","otu118","11","otu118","22","5","false","otu118","0"
"6013","0.007934218206269392","15","OTU-EUK267","matrix_2","OTU-EUK267","0","OTU-EUK267","15","7","false","OTU-EUK267","0"
"6015","0.0013641529034633185","4","OTU-EUK247","matrix_2","OTU-EUK247","0","OTU-EUK247","4","10","false","OTU-EUK247","0"
"6017","2.1580841386160238E-4","2","otu693","matrix_1","otu693","0","otu693","2","7","false","otu693","0"
"6018","1.3414684217903652E-4","8","OTU-EUK1388","matrix_2","OTU-EUK1388","0","OTU-EUK1388","8","5","false","OTU-EUK1388","0"
"6020","5.525681979510871E-4","21","OTU-EUK307","matrix_2","OTU-EUK307","7","OTU-EUK307","14","5","false","OTU-EUK307","0"
"6021","0.060375101781322604","11","otu38","matrix_1","otu38","10","otu38","1","7","false","otu38","0"
"6023","8.407263227480829E-4","1","otu558","matrix_1","otu558","0","otu558","1","5","false","otu558","0"
"6024","0.04796905725833176","18","OTU-EUK15","matrix_2","OTU-EUK15","2","OTU-EUK15","16","10","false","OTU-EUK15","0"
"6026","0.018672196504473524","12","otu90","matrix_1","otu90","12","otu90","0","6","false","otu90","0"
"6027","0.0011202839392235194","11","OTU-EUK367","matrix_2","OTU-EUK367","5","OTU-EUK367","6","6","false","OTU-EUK367","0"
"6029","5.61471209772924E-4","25","otu264","matrix_1","otu264","4","otu264","21","6","false","otu264","0"
"6030","1.1338646513949872E-4","46","OTU-EUK2651","matrix_2","OTU-EUK2651","46","OTU-EUK2651","0","5","false","OTU-EUK2651","0"
"6032","4.3257439769335126E-4","20","OTU-EUK365","matrix_2","OTU-EUK365","6","OTU-EUK365","14","5","false","OTU-EUK365","0"
"6034","0.0016313465077311099","66","OTU-EUK159","matrix_2","OTU-EUK159","51","OTU-EUK159","15","6","false","OTU-EUK159","0"
"6036","0.0015413379856132144","4","otu136","matrix_1","otu136","4","otu136","0","8","false","otu136","0"
"6037","6.707997172811541E-5","14","OTU-EUK1781","matrix_2","OTU-EUK1781","14","OTU-EUK1781","0","5","false","OTU-EUK1781","0"
"6039","0.005053725466510628","44","OTU-EUK201","matrix_2","OTU-EUK201","44","OTU-EUK201","0","5","false","OTU-EUK201","0"
"6040","0.003401918060543219","4","otu327","matrix_1","otu327","4","otu327","0","5","false","otu327","0"
"6042","0.003438191285753974","18","OTU-EUK379","matrix_2","OTU-EUK379","1","OTU-EUK379","17","6","false","OTU-EUK379","0"
